test,timestamp,vin_set,iload_set_a,vin_meas,iin_meas_a,pin_w,vout_meas,iout_meas_a,pout_w,efficiency,iq_ma
iq,2026-05-29T22:28:17.875456+00:00,6.0000,,5.996400,0.000223281,0.001338881,,,,,0.223281
iq,2026-05-29T22:28:21.007800+00:00,7.0000,,6.995800,0.000187690,0.001313045,,,,,0.187690
iq,2026-05-29T22:28:24.261720+00:00,8.0000,,7.995900,0.000175322,0.001401860,,,,,0.175322
iq,2026-05-29T22:28:27.507772+00:00,9.0000,,8.995100,0.000167570,0.001507307,,,,,0.167570
iq,2026-05-29T22:28:30.756621+00:00,10.0000,,9.995100,0.000159851,0.001597727,,,,,0.159851
iq,2026-05-29T22:28:34.006352+00:00,11.0000,,10.995600,0.000155908,0.001714301,,,,,0.155908
iq,2026-05-29T22:28:37.517786+00:00,12.0000,,11.995200,0.000143445,0.001720656,,,,,0.143445
iq,2026-05-29T22:28:41.007733+00:00,13.0000,,12.995200,0.000137969,0.001792929,,,,,0.137969
iq,2026-05-29T22:28:44.567294+00:00,14.0000,,13.995000,0.000137494,0.001924229,,,,,0.137494
iq,2026-05-29T22:28:48.170944+00:00,15.0000,,14.994600,0.000133049,0.001995013,,,,,0.133049
iq,2026-05-29T22:28:51.726702+00:00,16.0000,,15.996200,0.000121353,0.001941188,,,,,0.121353
iq,2026-05-29T22:28:55.208267+00:00,17.0000,,16.996600,0.000123975,0.002107146,,,,,0.123975
iq,2026-05-29T22:28:58.503784+00:00,18.0000,,17.995100,0.000141787,0.002551473,,,,,0.141787
efficiency,2026-05-29T22:29:07.525795+00:00,8.0000,0.0100,7.9962,0.007950,0.063566,4.9122,0.010200,0.050104,0.788222,
efficiency,2026-05-29T22:29:10.792060+00:00,8.0000,0.0200,7.9961,0.014491,0.115871,4.9112,0.020100,0.098715,0.851943,
efficiency,2026-05-29T22:29:14.042296+00:00,8.0000,0.0500,7.9960,0.033961,0.271550,4.9092,0.049900,0.244969,0.902113,
efficiency,2026-05-29T22:29:17.308993+00:00,8.0000,0.1000,7.9960,0.067091,0.536460,4.9013,0.099700,0.488660,0.910897,
efficiency,2026-05-29T22:29:20.587210+00:00,8.0000,0.2000,7.9960,0.131039,1.047784,4.8867,0.199600,0.975385,0.930903,
efficiency,2026-05-29T22:29:23.807979+00:00,8.0000,0.5000,7.9959,0.329647,2.635827,4.8513,0.499700,2.424195,0.919709,
efficiency,2026-05-29T22:29:27.057742+00:00,8.0000,1.0000,7.9960,0.681192,5.446808,4.7908,0.999700,4.789363,0.879297,
efficiency,2026-05-29T22:29:32.615575+00:00,10.0000,0.0100,9.9954,0.006474,0.064709,4.9186,0.010200,0.050170,0.775315,
efficiency,2026-05-29T22:29:35.823459+00:00,10.0000,0.0200,9.9954,0.011746,0.117406,4.9172,0.020100,0.098836,0.841829,
efficiency,2026-05-29T22:29:39.073057+00:00,10.0000,0.0500,9.9954,0.027493,0.274800,4.9265,0.049900,0.245832,0.894586,
efficiency,2026-05-29T22:29:42.339968+00:00,10.0000,0.1000,9.9954,0.054087,0.540624,4.9115,0.099600,0.489185,0.904853,
efficiency,2026-05-29T22:29:45.588678+00:00,10.0000,0.2000,9.9953,0.108467,1.084159,4.8934,0.199600,0.976723,0.900903,
efficiency,2026-05-29T22:29:48.883989+00:00,10.0000,0.5000,9.9952,0.266514,2.663856,4.8535,0.499700,2.425294,0.910445,
efficiency,2026-05-29T22:29:52.104937+00:00,10.0000,1.0000,9.9953,0.555378,5.551174,4.8302,0.999700,4.828751,0.869861,
efficiency,2026-05-29T22:29:57.663334+00:00,12.0000,0.0100,11.9955,0.005486,0.065804,4.9273,0.010200,0.050258,0.763762,
efficiency,2026-05-29T22:30:00.870770+00:00,12.0000,0.0200,11.9955,0.009968,0.119567,4.9250,0.020100,0.098992,0.827926,
efficiency,2026-05-29T22:30:04.120421+00:00,12.0000,0.0500,11.9956,0.023374,0.280390,4.9236,0.049900,0.245688,0.876234,
efficiency,2026-05-29T22:30:07.387590+00:00,12.0000,0.1000,11.9955,0.045632,0.547380,4.9378,0.099600,0.491805,0.898471,
efficiency,2026-05-29T22:30:10.636680+00:00,12.0000,0.2000,11.9955,0.091044,1.092120,4.9105,0.199600,0.980136,0.897462,
efficiency,2026-05-29T22:30:13.932435+00:00,12.0000,0.5000,11.9955,0.225082,2.699968,4.8719,0.499600,2.434001,0.901493,
efficiency,2026-05-29T22:30:17.153465+00:00,12.0000,1.0000,11.9954,0.458728,5.502631,4.8174,0.999700,4.815955,0.875210,
efficiency,2026-05-29T22:30:22.711582+00:00,14.0000,0.0100,13.9954,0.004780,0.066893,4.9366,0.010200,0.050353,0.752748,
efficiency,2026-05-29T22:30:25.918942+00:00,14.0000,0.0200,13.9954,0.008652,0.121084,4.9331,0.020100,0.099155,0.818899,
efficiency,2026-05-29T22:30:29.168529+00:00,14.0000,0.0500,13.9954,0.020332,0.284553,4.9306,0.049900,0.246037,0.864642,
efficiency,2026-05-29T22:30:32.434279+00:00,14.0000,0.1000,13.9954,0.039533,0.553279,4.9517,0.099700,0.493684,0.892288,
efficiency,2026-05-29T22:30:35.684320+00:00,14.0000,0.2000,13.9953,0.079006,1.105712,4.9448,0.199700,0.987477,0.893069,
efficiency,2026-05-29T22:30:38.979470+00:00,14.0000,0.5000,13.9952,0.195383,2.734422,4.8998,0.499700,2.448430,0.895410,
efficiency,2026-05-29T22:30:42.200669+00:00,14.0000,1.0000,13.9953,0.401466,5.618638,4.8881,0.999700,4.886634,0.869719,
efficiency,2026-05-29T22:30:47.759017+00:00,16.0000,0.0100,15.9966,0.004241,0.067848,4.9542,0.010200,0.050533,0.744794,
efficiency,2026-05-29T22:30:50.966555+00:00,16.0000,0.0200,15.9966,0.007679,0.122841,4.9410,0.020100,0.099314,0.808479,
efficiency,2026-05-29T22:30:54.216323+00:00,16.0000,0.0500,15.9967,0.018031,0.288443,4.9394,0.049900,0.246476,0.854505,
efficiency,2026-05-29T22:30:57.483056+00:00,16.0000,0.1000,15.9967,0.034949,0.559067,4.9649,0.099600,0.494504,0.884517,
efficiency,2026-05-29T22:31:00.732967+00:00,16.0000,0.2000,15.9966,0.069679,1.114633,4.9562,0.199600,0.989258,0.887519,
efficiency,2026-05-29T22:31:04.027199+00:00,16.0000,0.5000,15.9966,0.172788,2.764020,4.9216,0.499700,2.459324,0.889763,
efficiency,2026-05-29T22:31:07.249099+00:00,16.0000,1.0000,15.9965,0.357213,5.714158,4.9511,0.999700,4.949615,0.866202,
efficiency,2026-05-29T22:31:12.807598+00:00,18.0000,0.0100,17.9955,0.003771,0.067870,4.9482,0.010200,0.050472,0.743655,
efficiency,2026-05-29T22:31:16.014138+00:00,18.0000,0.0200,17.9955,0.006873,0.123692,4.9459,0.020100,0.099413,0.803711,
efficiency,2026-05-29T22:31:19.264779+00:00,18.0000,0.0500,17.9956,0.016120,0.290096,4.9459,0.049900,0.246800,0.850754,
efficiency,2026-05-29T22:31:22.531148+00:00,18.0000,0.1000,17.9956,0.031350,0.564157,4.9759,0.099600,0.495600,0.878479,
efficiency,2026-05-29T22:31:25.781222+00:00,18.0000,0.2000,17.9955,0.062373,1.122430,4.9631,0.199600,0.990635,0.882581,
efficiency,2026-05-29T22:31:29.076269+00:00,18.0000,0.5000,17.9955,0.155682,2.801579,4.9487,0.499600,2.472371,0.882492,
efficiency,2026-05-29T22:31:32.297202+00:00,18.0000,1.0000,17.9955,0.323322,5.818338,4.9877,0.999700,4.986204,0.856981,
